christmas tree farm pictures,0.4583
"vastar resources , inc .",0.8737
calpine daily gas nomination,0.8065
re : issue,0.6487
meter 7268 nov allocation,0.3365
mcmullen gas for 11 / 99,0.8045
meter 1517 - jan 1999,0.4367
duns number changes,0.7278
king ranch,0.6467
re : entex transistion,0.9579
entex transistion,0.2365
lst rev dec . 1999 josey ranch nom,0.7292
2 nd rev dec . 1999 josey ranch nom,0.4985
unify close schedule,0.1582
meter 1431 - nov 1999,0.4189
meter 1431 - nov 1999,0.3595
y 2 k - texas log,0.7508
re : lyondell citgo,0.9609
hpl fuel gas buy - back for december 1999,0.4373
ua 4 - meter 1441 for 11 / 97 - falfurrias,0.0153
ua 4 for meter 8608 - 6 / 98 - deal 96731,0.5588
january spot tickets,0.334
pennzenergy property details,0.2692
miscellaneous,0.2566
re : purge of old contract _ event _ status,0.0679
out on vacation,0.493
re : meter 1428 oct 99 - beaumont methanol,0.9972
re : evergreen deals,0.6906
re : evergreen deals,0.5556
potential well head - january 2000,0.102
january production estimate,0.8422
re : pennzoil avails,0.0114
valero 8018 and 1394,0.9191
hl & p,0.8447
phillips petroleum,0.1562
re : meter # 1512,0.5245
"98 - 1052 ( pasadena plant phillips ) and 98 - 6614 ( lehrer "" c "" # 1 )",0.0063
01 / 00 natural gas nomination,0.5969
misc . questions,0.7342
kerr mcgee : tomcat,0.4989
holiday on - call data,0.2787
new nat gas delivery location,0.3918
out of the office,0.6118
re : misc . questions,0.6522
23 rd noms,0.7677
re : best guess right now . . . . should go up but a little to soon to,0.64
revision,0.5281
entex increase rom :,0.7099
re : counties / meter types for gemc and midcon tx,0.296
jan net position - revised,0.6594
mcmullen line maintenance,0.5126
"hpl nominations for december 28 , 1999",0.3333
new nat gas delivery location,0.4724
re : ua 4 - meter 1441 for 11 / 97 - falfurrias,0.5703
unify down - unix team working on it,0.7407
calpine january 2000 nomination,0.0744
jan noms,0.9835
black marlin - meter 986782 for 8 / 98 - ua 4,0.6529
revision - black marlin - meter 986782 for 8 / 98 - ua 4,0.5093
